name,image_url,stat_value
Gabriel Magalhães,https://img.a.transfermarkt.technology/portrait/header/435338-1684162833.jpg?lm=1,75000000
Joshua Zirkzee,https://img.a.transfermarkt.technology/portrait/header/435648-1651087961.jpg?lm=1,35000000
Charles De Ketelaere,https://img.a.transfermarkt.technology/portrait/header/435772-1659601388.jpg?lm=1,38000000
Yann Bisseck,https://img.a.transfermarkt.technology/portrait/header/441986-1742497863.jpg?lm=1,30000000
Angelo Stiller,https://img.a.transfermarkt.technology/portrait/header/443710-1723707618.jpg?lm=1,38000000
Lucas Paquetá,https://img.a.transfermarkt.technology/portrait/header/444523-1695370009.jpg?lm=1,35000000
Omar Marmoush,https://img.a.transfermarkt.technology/portrait/header/445939-1696508916.jpg?lm=1,75000000
Douglas Luiz,https://img.a.transfermarkt.technology/portrait/header/447661-1696598670.jpg?lm=1,38000000
Dominik Szoboszlai,https://img.a.transfermarkt.technology/portrait/header/451276-1700209677.jpg?lm=1,80000000
Andrea Cambiaso,https://img.a.transfermarkt.technology/portrait/header/459658-1662127057.jpg?lm=1,40000000
Tijjani Reijnders,https://img.a.transfermarkt.technology/portrait/header/460939-1676466080.jpg?lm=1,50000000
Morten Hjulmand,https://img.a.transfermarkt.technology/portrait/header/461496-1725633200.jpg?lm=1,45000000
Lucas Chevalier,https://img.a.transfermarkt.technology/portrait/header/463600-1708342501.jpg?lm=1,30000000
Khéphren Thuram,https://img.a.transfermarkt.technology/portrait/header/463618-1683889273.jpg?lm=1,40000000
Mattéo Guendouzi,https://img.a.transfermarkt.technology/portrait/header/465830-1730125468.jpg?lm=1,32000000
Nico González,https://img.a.transfermarkt.technology/portrait/header/466805-1743669968.jpg?lm=1,40000000
Malik Tillman,https://img.a.transfermarkt.technology/portrait/header/467437-1726846425.jpg?lm=1,30000000
Samuele Ricci,https://img.a.transfermarkt.technology/portrait/header/467992-1730125512.jpg?lm=1,30000000
David Neres,https://img.a.transfermarkt.technology/portrait/header/469822-1701334470.jpg?lm=1,30000000
Brennan Johnson,https://img.a.transfermarkt.technology/portrait/header/470607-1692959021.jpg?lm=1,50000000
Reece James,https://img.a.transfermarkt.technology/portrait/header/472423-1683900849.jpg?lm=1,30000000
Josko Gvardiol,https://img.a.transfermarkt.technology/portrait/header/475959-1713391602.jpg?lm=1,75000000
Manuel Ugarte,https://img.a.transfermarkt.technology/portrait/header/476701-1715107512.jpg?lm=1,50000000
Ryan Gravenberch,https://img.a.transfermarkt.technology/portrait/header/478573-1718097194.jpg?lm=1,70000000
Eberechi Eze,https://img.a.transfermarkt.technology/portrait/header/479999-1678466922.jpg?lm=1,55000000
Ronald Araujo,https://img.a.transfermarkt.technology/portrait/header/480267-1736431980.jpg?lm=1,50000000
Luis Díaz,https://img.a.transfermarkt.technology/portrait/header/480692-1697903145.jpg?lm=1,85000000
Lisandro Martínez,https://img.a.transfermarkt.technology/portrait/header/480762-1680681507.jpg?lm=1,45000000
Jeremie Frimpong,https://img.a.transfermarkt.technology/portrait/header/484547-1689710682.jpg?lm=1,50000000
